"Num","Career","Gender","Age","Studying","Contract","Salary","Firmtype","Accgrade","Grade","Startwork","Image","Exp-gene","Exp-spec","Qual-gen","Qual-spec","Value","Satisfaction"
101,"TEL","male","29-30years","yes.stud","temp.cont","35k","priva","accnote<7","7-7.5note","befor.grad","0,82","-0,39","-0,51","-0,64","0,56","0,09","0,74"
102,"TEL","male","29-30years","yes.stud","other.cont","<18k","priva","accnote<7","<6.5note","after.grad","-0,39","-1,13","-1,07","0,49","0,24","-1,12","-0,61"
103,"TEL","male","29-30years","yes.stud","fix.cont","35k","priva","7-8accnote","6.5-7note","after.grad","-0,56","-1,35","-1,12","-1,38","-1,23","0,28","0,34"
104,"TEL","female","29-30years","yes.stud","temp.cont","45k","publi","accnote>8","6.5-7note","after.grad","0,61","-2,48","-3,8","-0,59","0,04","-0,38","0,32"
105,"TEL","male","31years+","yes.stud","fix.cont","25k","priva","accnote<7","<6.5note","after.grad","-0,31","0,84","-0,33","-0,79","-0,08","-0,72","-0,48"
106,"TEL","male","31years+","yes.stud","temp.cont","25k","priva","accnote<7","6.5-7note","after.grad","-1,51","-1,73","-2,79","-1,87","0,6","-3,07","-2,5"
107,"TEL","male","31years+","yes.stud","fix.cont","45k","priva","7-8accnote","7-7.5note","befor.grad","-0,2","0,94","-0,15","-0,21","0,59","0,14","0,1"
108,"TEL","male","29-30years","yes.stud","fix.cont",">45k","priva","accnote<7",">7.5note","after.grad","0,23","-0,82","0,09","-0,36","0,64",1,"0,5"
109,"TEL","male","29-30years","yes.stud","fix.cont","35k","priva","accnote<7","6.5-7note","after.grad","0,16","0,07","0,04","-0,45","-1,58","0,27","0,17"
110,"TEL","male","27-28years","yes.stud","fix.cont","35k","priva","7-8accnote","<6.5note","befor.grad",0,"-0,13","-0,14","-0,16","-0,28","-0,42","-0,26"
111,"TEL","male","29-30years","yes.stud","fix.cont",">45k","priva","7-8accnote","6.5-7note","befor.grad","-1,21","-1,74","-1,39","-1,58","-1,08","0,57","0,83"
112,"TEL","male","27-28years","yes.stud","fix.cont",">45k","publi","7-8accnote","7-7.5note","befor.grad","-0,75","1,6","1,66","-0,07","1,15","1,78","1,25"
113,"TEL","male","29-30years","yes.stud","temp.cont","35k","publi","7-8accnote","6.5-7note","after.grad","-0,09","-0,93","0,09","-0,93","0,16","0,81","0,12"
114,"TEL","male","29-30years","yes.stud","fix.cont","35k","publi","7-8accnote","7-7.5note","after.grad","2,19","1,04","0,55","1,04","1,08","0,8","1,1"
115,"TEL","male","31years+","yes.stud","fix.cont","35k","priva","accnote>8","<6.5note","befor.grad","0,06","-1,32","-0,61","-0,38",0,"-0,2","-0,96"
116,"TEL","male","31years+","yes.stud","fix.cont","25k","priva","accnote<7","6.5-7note","befor.grad","-0,02","-0,28","-1,76","-0,74","-0,44","-0,91","-0,22"
117,"TEL","male","29-30years","yes.stud","fix.cont","45k","priva","7-8accnote","<6.5note","befor.grad","-0,88","-0,4","-0,51","-0,65","0,79","0,11","0,09"
118,"TEL","male","31years+","yes.stud","fix.cont","<18k","priva","accnote<7","7-7.5note","befor.grad","0,41","-0,9","1,29","-0,01","0,75","0,92","0,92"
119,"TEL","male","29-30years","yes.stud","temp.cont","<18k","priva","accnote<7","7-7.5note","after.grad","-0,83","0,58","0,69","-0,52","0,16","-0,8","0,16"
120,"TEL","male","29-30years","yes.stud","temp.cont",">45k","publi","7-8accnote","7-7.5note","after.grad","0,03",0,"-0,28","-0,48","0,44","0,71","0,83"
121,"TEL","male","29-30years","yes.stud","fix.cont","35k","priva","accnote<7","6.5-7note","after.grad","-0,05","0,22","0,42","0,87","-0,48","0,13","0,4"
122,"TEL","male","29-30years","yes.stud","other.cont","25k","priva","accnote<7","7-7.5note","befor.grad","0,68","-0,07","0,64","0,65","0,64","-0,09","0,92"
123,"TEL","female","29-30years","yes.stud","temp.cont","35k","priva","7-8accnote","6.5-7note","befor.grad","-0,18","0,55","-0,14","-1,34","-1,31","-1,4","-0,92"
124,"TEL","male","29-30years","yes.stud","fix.cont","35k","priva","accnote<7","7-7.5note","befor.grad","1,19","0,18","0,09","-0,15","0,6","-1,08","-0,18"
125,"TEL","male","31years+","yes.stud","fix.cont","45k","priva","7-8accnote","<6.5note","befor.grad","0,94","1,33","-0,93","0,17","-0,08","0,89","0,74"
126,"TEL","male","31years+","yes.stud","fix.cont","25k","priva","accnote<7","7-7.5note","after.grad","-0,4","0,87","-0,93","0,04","0,43","-0,14","0,43"
127,"TEL","male","29-30years","yes.stud","fix.cont","35k","priva","accnote<7","7-7.5note","befor.grad","-0,32","-0,63","-0,28","-0,71","0,16","0,71","0,05"
